success,rewards,steps,resources,epsilon,first_success,PGF,I_op
0.0,-24.31,30.0,2.0,0.1,,2.85,0.4
0.0,-25.3,30.0,1.0,0.1,,2.475,0.35
0.0,-21.71,30.0,4.0,0.1,,3.8,0.5
0.0,-28.1,30.0,0.0,0.1,,0.1,0.3
0.0,-23.5,30.0,2.0,0.1,,2.85,0.4
0.0,-26.2,30.0,1.0,0.1,,2.475,0.35
0.0,-25.32,30.0,2.0,0.1,,2.85,0.4
0.0,-25.51,30.0,0.0,0.1,,0.1,0.3
0.0,-22.73,30.0,3.0,0.1,,3.225,0.45000000000000007
0.0,-26.51,30.0,1.0,0.1,,2.475,0.35
0.0,-27.71,30.0,0.0,0.1,,0.1,0.3
0.0,-26.1,30.0,2.0,0.1,,2.85,0.4
0.0,-24.71,30.0,1.0,0.1,,2.475,0.35
