agent,seed,episodes,steps,risk_scale,reward_total,reward_env_total,filename
simbiosis,42,200,,1.2,-13.740777877335356,-58.406050000000015,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed42_m0p2_v11_episodes.csv
simbiosis,7,200,,1.2,-58.40644999999999,-58.40644999999999,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed7_m0p0_v11_episodes.csv
simbiosis,7,200,,1.2,-13.728967062053348,-58.40644999999999,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed7_m0p2_v11_episodes.csv
simbiosis,99,200,,1.2,-58.482200000000006,-58.48220000000001,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed99_m0p0_v11_episodes.csv
simbiosis,99,200,,1.2,-13.814499859170246,-58.48220000000001,results\v11\F3\F1_highrisk\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f1_seed99_m0p2_v11_episodes.csv
control,101,200,,1.2,-56.264950000000006,-56.264950000000006,results\v11\F3\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_f1_seed101_m0p0_v11_episodes.csv
control,13,200,,1.2,-56.3517,-56.35170000000001,results\v11\F3\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_f1_seed13_m0p0_v11_episodes.csv
control,42,200,,1.2,-55.5973,-55.597300000000004,results\v11\F3\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_f1_seed42_m0p0_v11_episodes.csv
control,7,200,,1.2,-57.1237,-57.12369999999998,results\v11\F3\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_f1_seed7_m0p0_v11_episodes.csv
control,99,200,,1.2,-56.61955,-56.61955000000002,results\v11\F3\F1_highrisk\grid8\riskhigh\control\grid8_riskhigh_r1p2_f1_seed99_m0p0_v11_episodes.csv
dqn_control,101,200,,1.2,-59.98825,-59.98825000000001,results\v11\F3\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f1_seed101_m0p0_v11_episodes.csv
dqn_control,13,200,,1.2,-60.06354999999999,-60.063549999999985,results\v11\F3\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f1_seed13_m0p0_v11_episodes.csv
dqn_control,42,200,,1.2,-60.0075,-60.00749999999997,results\v11\F3\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f1_seed42_m0p0_v11_episodes.csv
dqn_control,7,200,,1.2,-60.01625,-60.01624999999997,results\v11\F3\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f1_seed7_m0p0_v11_episodes.csv
dqn_control,99,200,,1.2,-60.08044999999999,-60.08044999999999,results\v11\F3\F1_highrisk\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f1_seed99_m0p0_v11_episodes.csv
simbiosis,101,200,,1.2,-58.9845,-58.98449999999994,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed101_m0p0_v11_episodes.csv
simbiosis,101,200,,1.2,-14.18808748063631,-58.98449999999994,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed101_m0p2_v11_episodes.csv
simbiosis,13,200,,1.2,-59.02555,-59.02555000000001,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed13_m0p0_v11_episodes.csv
simbiosis,13,200,,1.2,-14.230225327052072,-59.02555000000001,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed13_m0p2_v11_episodes.csv
simbiosis,42,200,,1.2,-59.03005,-59.03005000000002,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed42_m0p0_v11_episodes.csv
simbiosis,42,200,,1.2,-14.239977877335354,-59.03005000000002,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed42_m0p2_v11_episodes.csv
