risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
2.0,simbiosis,-0.6866035687271926,-0.1309391672445528,0.55566440148264,0.173,-34.058490500051924
2.0,dqn_control,-0.7331651097886047,-0.1023506160938935,0.6308144936947111,0.117,7.395
3.0,control,-0.2942336075202106,-0.0671442397041186,0.2270893678160919,0.025,-5.355
3.0,simbiosis,-0.7565251072853785,-0.1342290858787813,0.6222960214065972,0.17,-37.093130346156855
3.0,dqn_control,-0.793593032055087,-0.1049183632068881,0.6886746688481991,0.104,6.495
0.5,control,-0.2634327334855749,-0.0664027334855748,0.19703,0.02,-4.1
0.5,simbiosis,-0.5357044883524443,-0.1186444883524444,0.41706,0.132,-26.785224417622217
0.5,dqn_control,-0.565575901508918,-0.0982359015089181,0.46734,0.102,14.81
1.0,control,-0.2715827334855749,-0.0664027334855748,0.20518,0.02,-4.305
1.0,simbiosis,-0.5597990293117729,-0.119859029311773,0.43994,0.135,-27.989951465588653
1.0,dqn_control,-0.5953311429891083,-0.0977611429891083,0.49757,0.101,12.145
1.5,control,-0.2797327334855749,-0.0664027334855748,0.21333,0.02,-4.51
1.5,simbiosis,-0.65864990010063,-0.1262829435788907,0.532366956521739,0.14,-32.90373716890623
1.5,dqn_control,-0.7101224824599575,-0.1079272388898189,0.6021952435701384,0.125,10.09
2.0,control,-0.2907657090291911,-0.0675257090291911,0.22324,0.025,-5.085
2.0,simbiosis,-0.6756826533584251,-0.1331642079002373,0.5425184454581877,0.187,-33.55581481636443
2.0,dqn_control,-0.8160132714628446,-0.115187441231468,0.7008258302313766,0.164,7.45
3.0,control,-0.2937456483545804,-0.0669323843213164,0.226813264033264,0.022,-5.475
3.0,simbiosis,-0.8567839541539308,-0.1535992702368769,0.7031846839170539,0.181,-40.376052886420304
3.0,dqn_control,-0.8034714760342445,-0.1105359755705993,0.6929355004636455,0.124,1.495
