Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
control,46,-71.31,0.0,0.5833333333333334,0.9333333333333332,0.6666666666666666,3.8075790499202307,0.2001666666666667,0.3672493386243387,0.13333333333333333,1,0
control,47,-60.4,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.31277777777777777,0.0,0,0
control,48,-62.4,0.0,0.5,1.0,0.8666666666666667,5.266666666666667,0.07000000000000002,0.27920634920634924,0.0,0,0
control,49,-59.41,0.0,0.5,0.9866666666666667,0.8,5.4997462163936115,0.0,0.3075580026455026,0.0,0,0
control,50,-60.8,0.0,0.5,1.0,0.8,5.5,0.0,0.2901388888888889,0.0,0,0
control,51,-60.24,0.0,0.5,0.9466666666666669,0.7666666666666667,5.498984865574444,0.0,0.30198220899470896,0.0,0,0
control,52,-60.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2838657407407407,0.0,0,0
control,53,-62.0,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.29097222222222224,0.0,0,0
control,54,-58.4,0.0,0.5,1.0,0.7333333333333333,5.5,0.0,0.3287301587301587,0.0,0,0
control,55,-59.42,0.0,0.5,0.9733333333333334,0.8333333333333334,5.499492432787222,0.0,0.3344069444444445,0.0,0,0
control,56,-71.3,0.0,0.5833333333333334,1.0,0.8333333333333334,3.808847967952176,0.20000000000000004,0.4252777777777778,0.13333333333333333,1,0
control,57,-71.50999999999999,0.0,0.6,0.9199999999999999,0.6,3.469094859904277,0.24020000000000002,0.4615541666666667,0.16,1,0
control,58,-60.21,0.0,0.5,0.9866666666666667,0.8,5.4997462163936115,0.0,0.34487430555555554,0.0,0,0
control,59,-59.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.41611111111111115,0.0,0,0
control,60,-60.21,0.0,0.5,0.9866666666666667,0.7666666666666667,5.4997462163936115,0.0,0.3641423611111111,0.0,0,0
control,61,-60.0,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.4133333333333333,0.0,0,0
control,62,-71.31,0.0,0.5625,0.95,0.5,4.230684287440173,0.150125,0.4938880208333334,0.1,1,0
control,63,-71.89999999999999,0.0,0.5416666666666666,1.0,0.8333333333333334,4.654423983976088,0.10833333333333334,0.34765542328042326,0.06666666666666667,1,0
control,64,-58.4,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.2823077848077848,0.0,0,0
control,65,-70.89999999999999,0.0,0.53125,1.0,0.875,4.865817987982066,0.07500000000000001,0.32161876318126315,0.05,1,0
control,66,-60.6,0.0,0.5,1.0,0.9,5.5,0.0,0.35042286417286417,0.0,0,0
control,67,-72.50999999999999,0.0,0.525,0.9800000000000001,0.6,4.992273714976069,0.07005,0.3325071428571428,0.04,1,0
control,68,-60.4,0.0,0.5,1.0,0.8,5.5,0.0,0.3000297619047619,0.0,0,0
control,69,-59.3,0.0,0.5,0.8666666666666667,0.8,5.497462163936109,0.0,0.34048759920634925,0.0,0,0
control,70,-71.3,0.0,0.5625,1.0,0.625,4.2316359759641315,0.15000000000000002,0.4237202380952381,0.1,1,0
control,71,-70.89999999999999,0.0,0.5454545454545454,1.0,0.9090909090909091,4.5775534370648225,0.10909090909090911,0.4520995670995672,0.07272727272727274,1,0
control,72,-59.4,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.32962301587301585,0.0,0,0
control,73,-71.31,0.0,0.5625,0.95,0.625,4.230684287440173,0.150125,0.35159730200355205,0.1,1,0
control,74,-60.0,0.0,0.5,1.0,0.9,5.5,0.0,0.28512820512820514,0.0,0,0
control,75,-61.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.3157852564102564,0.0,0,0
