episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
99,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
100,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
101,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
102,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
103,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
104,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
105,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
106,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
107,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
108,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
109,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
110,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
111,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
112,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
113,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
114,110.30000000000001,9,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
115,110.08500000000001,13,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,456
116,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
117,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
118,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
119,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
120,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
121,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
122,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
123,112.60000000000001,8,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
124,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
125,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
126,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
127,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
128,110.2,20,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
129,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
130,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
131,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
132,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
133,111.30000000000001,9,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
134,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
135,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
136,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
137,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
138,110.4,18,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
139,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
140,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
141,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
142,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
143,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
144,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
145,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
146,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
147,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
148,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
149,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
150,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
151,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
152,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
153,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
154,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
155,110.50000000000001,17,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
156,111.50000000000001,7,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
157,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
158,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
159,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
160,109.50000000000001,17,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
161,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
162,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
163,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
164,109.4,18,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
165,111.10000000000001,11,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
166,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
167,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
168,110.4,8,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
169,115.60000000000001,6,6,190.0,True,False,0.01,PGF,favorable,10.0,0.4,456
170,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
171,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
172,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
173,110.30000000000001,9,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
174,111.4,18,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
175,111.4,8,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
176,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
177,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
178,29.4,30,3,103.0,False,False,0.01,PGF,favorable,10.0,0.4,456
179,25.4,30,0,100.0,False,False,0.01,PGF,favorable,10.0,0.4,456
180,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
181,111.50000000000001,7,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
182,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
183,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
184,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
185,111.00000000000001,12,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
