episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
221,PGF,110.4,6,1,186.0,0.8999999999999999,0.3,0.375,2.0,6
222,PGF,112.4,6,3,188.0,1.0799999999999998,0.3,0.375,1.6666666666666667,6
223,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
224,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
225,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
226,PGF,111.4,6,2,187.0,0.8999999999999999,0.3,0.375,2.0,6
227,PGF,112.4,6,3,188.0,1.3499999999999999,0.3,0.375,1.3333333333333333,6
228,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
229,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
230,PGF,111.4,6,2,187.0,1.2,0.3,0.375,1.5,6
231,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
232,PGF,110.10000000000001,7,1,186.0,0.8999999999999999,0.3,0.375,2.0,6
233,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
234,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
235,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
236,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
237,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
238,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
239,PGF,111.4,6,2,187.0,0.5142857142857142,0.3,0.375,3.5,6
240,PGF,111.4,6,2,187.0,0.8999999999999999,0.3,0.375,2.0,6
241,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
242,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
243,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
244,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
245,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
246,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
247,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
248,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
249,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
250,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
251,PGF,111.4,6,2,187.0,0.72,0.3,0.375,2.5,6
252,PGF,111.4,6,2,187.0,0.5142857142857142,0.3,0.375,3.5,6
253,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
254,PGF,112.4,6,3,188.0,1.3499999999999999,0.3,0.375,1.3333333333333333,6
255,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
