episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
81,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
82,,1.0,DirectoS1,24.0,73.99999999999999,0,1,30,False,0,0,0.01,0.25,42,6
83,,1.0,DirectoS1,26.2,176.2,0,3,30,False,0,0,0.01,0.25,42,6
84,,1.0,DirectoS1,24.2,74.19999999999996,0,1,30,False,0,0,0.01,0.25,42,6
85,,1.0,DirectoS1,24.0,73.99999999999997,0,1,30,False,0,0,0.01,0.25,42,6
86,,1.0,DirectoS1,24.0,74.0,0,1,30,False,0,0,0.01,0.25,42,6
87,,1.0,DirectoS1,23.0,23.0,0,0,30,False,0,0,0.01,0.25,42,6
88,,1.0,DirectoS1,24.0,73.99999999999999,0,1,30,False,0,0,0.01,0.25,42,6
89,,1.0,DirectoS1,25.0,124.99999999999996,0,2,30,False,0,0,0.01,0.25,42,6
90,,1.0,DirectoS1,24.2,74.19999999999996,0,1,30,False,0,0,0.01,0.25,42,6
91,,1.0,DirectoS1,24.0,73.99999999999996,0,1,30,False,0,0,0.01,0.25,42,6
92,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
93,,1.0,DirectoS1,24.2,74.19999999999996,0,1,30,False,0,0,0.01,0.25,42,6
94,,1.0,DirectoS1,23.0,23.0,0,0,30,False,0,0,0.01,0.25,42,6
95,,1.0,DirectoS1,23.0,23.0,0,0,30,False,0,0,0.01,0.25,42,6
96,,1.0,DirectoS1,22.18,-77.82000000000004,1,0,30,False,0,0,0.01,0.25,42,6
97,,1.0,DirectoS1,25.0,124.99999999999996,0,2,30,False,0,0,0.01,0.25,42,6
98,,1.0,DirectoS1,23.8,73.79999999999998,0,1,30,False,0,0,0.01,0.25,42,6
99,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
100,,1.0,DirectoS1,25.2,125.19999999999996,0,2,30,False,0,0,0.01,0.25,42,6
101,,1.0,DirectoS1,24.0,74.0,0,1,30,False,0,0,0.01,0.25,42,6
102,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
103,,1.0,DirectoS1,24.0,73.99999999999999,0,1,30,False,0,0,0.01,0.25,42,6
104,,1.0,DirectoS1,23.0,23.0,0,0,30,False,0,0,0.01,0.25,42,6
105,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
106,,1.0,DirectoS1,24.2,74.2,0,1,30,False,0,0,0.01,0.25,42,6
107,,1.0,DirectoS1,27.0,227.00000000000006,0,4,30,False,0,0,0.01,0.25,42,6
108,,1.0,DirectoS1,23.0,23.0,0,0,30,False,0,0,0.01,0.25,42,6
109,,1.0,DirectoS1,24.0,73.99999999999996,0,1,30,False,0,0,0.01,0.25,42,6
110,,1.0,DirectoS1,25.2,125.19999999999999,0,2,30,False,0,0,0.01,0.25,42,6
111,,1.0,DirectoS1,24.0,73.99999999999996,0,1,30,False,0,0,0.01,0.25,42,6
112,,1.0,DirectoS1,24.790000000000003,124.78999999999998,0,2,30,False,0,0,0.01,0.25,42,6
113,,1.0,DirectoS1,25.2,125.19999999999997,0,2,30,False,0,0,0.01,0.25,42,6
114,,1.0,DirectoS1,24.200000000000003,74.19999999999999,0,1,30,False,0,0,0.01,0.25,42,6
115,,1.0,DirectoS1,24.2,74.19999999999999,0,1,30,False,0,0,0.01,0.25,42,6
116,,1.0,DirectoS1,25.19,125.18999999999996,0,2,30,False,0,0,0.01,0.25,42,6
117,,1.0,DirectoS1,24.0,73.99999999999997,0,1,30,False,0,0,0.01,0.25,42,6
118,,1.0,DirectoS1,25.0,124.99999999999997,0,2,30,False,0,0,0.01,0.25,42,6
119,,1.0,DirectoS1,24.0,73.99999999999997,0,1,30,False,0,0,0.01,0.25,42,6
120,,1.0,DirectoS1,23.2,23.2,0,0,30,False,0,0,0.01,0.25,42,6
121,,1.0,DirectoS1,20.79,20.79,0,0,30,False,0,0,0.01,0.25,42,6
122,,1.0,DirectoS1,23.39,73.38999999999997,0,1,30,False,0,0,0.01,0.25,42,6
123,,1.0,DirectoS1,20.589999999999996,20.589999999999996,0,0,30,False,0,0,0.01,0.25,42,6
124,,1.0,DirectoS1,21.59,71.58999999999993,0,1,30,False,0,0,0.01,0.25,42,6
125,,1.0,DirectoS1,21.4,71.39999999999992,0,1,30,False,0,0,0.01,0.25,42,6
126,,1.0,DirectoS1,20.79,20.79,0,0,30,False,0,0,0.01,0.25,42,6
127,,1.0,DirectoS1,20.589999999999996,20.589999999999996,0,0,30,False,0,0,0.01,0.25,42,6
