episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
189,PGF,21.599999999999998,71.59999999999998,0,1,30,False,0,0,0.01,1.0,0.4,42,4
190,PGF,24.8,174.79999999999998,0,3,30,False,0,0,0.01,1.0,0.4,42,4
191,PGF,26.0,176.00000000000006,0,3,30,False,0,0,0.01,1.0,0.4,42,4
192,PGF,23.19,23.189999999999987,1,2,30,False,0,0,0.01,1.0,0.4,42,4
193,PGF,23.599999999999998,173.59999999999997,0,3,30,False,0,0,0.01,1.0,0.4,42,4
194,PGF,23.8,73.79999999999997,0,1,30,False,0,0,0.01,1.0,0.4,42,4
195,PGF,29.0,429.0000000000001,0,8,30,False,0,0,0.01,1.0,0.4,42,4
196,PGF,23.400000000000002,173.4000000000001,0,3,30,False,0,0,0.01,1.0,0.4,42,4
197,PGF,28.200000000000003,378.20000000000005,0,7,30,False,0,0,0.01,1.0,0.4,42,4
198,PGF,24.0,74.0,0,1,30,False,0,0,0.01,1.0,0.4,42,4
199,PGF,26.200000000000003,276.20000000000005,0,5,30,False,0,0,0.01,1.0,0.4,42,4
200,PGF,25.6,275.6000000000002,0,5,30,False,0,0,0.01,1.0,0.4,42,4
201,PGF,25.8,275.8000000000002,0,5,30,False,0,0,0.01,1.0,0.4,42,4
202,PGF,24.4,224.40000000000003,0,4,30,False,0,0,0.01,1.0,0.4,42,4
203,PGF,27.0,327.0,0,6,30,False,0,0,0.01,1.0,0.4,42,4
204,PGF,24.6,124.59999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
205,PGF,24.200000000000003,124.19999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
206,PGF,26.0,176.0000000000001,0,3,30,False,0,0,0.01,1.0,0.4,42,4
207,PGF,26.0,226.0000000000001,0,4,30,False,0,0,0.01,1.0,0.4,42,4
208,PGF,23.98,73.97999999999995,1,3,30,False,0,0,0.01,1.0,0.4,42,4
209,PGF,27.0,227.0,0,4,30,False,0,0,0.01,1.0,0.4,42,4
210,PGF,23.79,23.789999999999974,1,2,30,False,0,0,0.01,1.0,0.4,42,4
211,PGF,24.0,74.0,0,1,30,False,0,0,0.01,1.0,0.4,42,4
212,PGF,26.200000000000003,226.2,0,4,30,False,0,0,0.01,1.0,0.4,42,4
213,PGF,25.380000000000003,25.37999999999999,2,4,30,False,0,0,0.01,1.0,0.4,42,4
214,PGF,25.0,124.99999999999999,0,2,30,False,0,0,0.01,1.0,0.4,42,4
215,PGF,30.0,380.00000000000006,0,7,30,False,0,0,0.01,1.0,0.4,42,4
216,PGF,27.59,177.5900000000001,1,5,30,False,0,0,0.01,1.0,0.4,42,4
217,PGF,25.0,124.99999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
218,PGF,25.0,124.99999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
219,PGF,24.6,124.59999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
220,PGF,24.0,123.99999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
221,PGF,27.0,227.0,0,4,30,False,0,0,0.01,1.0,0.4,42,4
222,PGF,26.0,176.00000000000003,0,3,30,False,0,0,0.01,1.0,0.4,42,4
223,PGF,22.599999999999998,122.59999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
224,PGF,22.4,122.39999999999992,0,2,30,False,0,0,0.01,1.0,0.4,42,4
