group,grid_size,seed,agent,pgf_mix,budget,episodes_completed,catastrophes_total,budget_exhausted,cfr,catastrophe_episodes_rate,filename
C-H,16,612,control,0.0,40,150,40,1,1,0.26666666666666666,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed612_stkH_b40_m0p0_v11_episodes.csv
C-H,16,613,control,0.0,40,89,40,1,1,0.449438202247191,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed613_stkH_b40_m0p0_v11_episodes.csv
C-H,16,614,control,0.0,40,168,40,1,1,0.23809523809523808,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed614_stkH_b40_m0p0_v11_episodes.csv
C-H,16,615,control,0.0,40,151,40,1,1,0.26490066225165565,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed615_stkH_b40_m0p0_v11_episodes.csv
C-H,16,616,control,0.0,40,98,40,1,1,0.40816326530612246,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed616_stkH_b40_m0p0_v11_episodes.csv
C-H,16,617,control,0.0,40,120,40,1,1,0.3333333333333333,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed617_stkH_b40_m0p0_v11_episodes.csv
C-H,16,618,control,0.0,40,130,40,1,1,0.3076923076923077,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed618_stkH_b40_m0p0_v11_episodes.csv
C-H,16,619,control,0.0,40,174,40,1,1,0.22988505747126436,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed619_stkH_b40_m0p0_v11_episodes.csv
C-H,16,620,control,0.0,40,172,40,1,1,0.23255813953488372,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/control/grid16_riskhigh_r1p2_f2rt0p03_seed620_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,601,simbiosis,0.0,40,200,8,0,0,0.04,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed601_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,602,simbiosis,0.0,40,200,0,0,0,0.0,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed602_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,603,simbiosis,0.0,40,200,0,0,0,0.0,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed603_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,604,simbiosis,0.0,40,173,40,1,1,0.23121387283236994,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed604_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,605,simbiosis,0.0,40,110,40,1,1,0.36363636363636365,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed605_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,606,simbiosis,0.0,40,200,0,0,0,0.0,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed606_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,607,simbiosis,0.0,40,200,2,0,0,0.01,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed607_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,608,simbiosis,0.0,40,200,1,0,0,0.005,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed608_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,609,simbiosis,0.0,40,200,5,0,0,0.025,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed609_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,610,simbiosis,0.0,40,200,6,0,0,0.03,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed610_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,611,simbiosis,0.0,40,108,40,1,1,0.37037037037037035,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed611_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,612,simbiosis,0.0,40,72,40,1,1,0.5555555555555556,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed612_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,613,simbiosis,0.0,40,72,40,1,1,0.5555555555555556,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed613_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,614,simbiosis,0.0,40,200,7,0,0,0.035,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed614_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,615,simbiosis,0.0,40,166,40,1,1,0.24096385542168675,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed615_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,616,simbiosis,0.0,40,200,8,0,0,0.04,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed616_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,617,simbiosis,0.0,40,200,4,0,0,0.02,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed617_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,618,simbiosis,0.0,40,200,6,0,0,0.03,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed618_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,619,simbiosis,0.0,40,200,2,0,0,0.01,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed619_stkH_b40_m0p0_v11_episodes.csv
S0-H,16,620,simbiosis,0.0,40,200,1,0,0,0.005,results/v11/F8/F2_redteam/stkH/rt0p03/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_f2rt0p03_seed620_stkH_b40_m0p0_v11_episodes.csv
C-H,8,601,control,0.0,40,92,40,1,1,0.43478260869565216,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed601_stkH_b40_m0p0_v11_episodes.csv
C-H,8,602,control,0.0,40,148,40,1,1,0.2702702702702703,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed602_stkH_b40_m0p0_v11_episodes.csv
C-H,8,603,control,0.0,40,101,40,1,1,0.39603960396039606,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed603_stkH_b40_m0p0_v11_episodes.csv
C-H,8,604,control,0.0,40,70,40,1,1,0.5714285714285714,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed604_stkH_b40_m0p0_v11_episodes.csv
C-H,8,605,control,0.0,40,123,40,1,1,0.3252032520325203,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed605_stkH_b40_m0p0_v11_episodes.csv
C-H,8,606,control,0.0,40,110,40,1,1,0.36363636363636365,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed606_stkH_b40_m0p0_v11_episodes.csv
C-H,8,607,control,0.0,40,121,40,1,1,0.3305785123966942,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed607_stkH_b40_m0p0_v11_episodes.csv
C-H,8,608,control,0.0,40,76,40,1,1,0.5263157894736842,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed608_stkH_b40_m0p0_v11_episodes.csv
C-H,8,609,control,0.0,40,119,40,1,1,0.33613445378151263,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed609_stkH_b40_m0p0_v11_episodes.csv
C-H,8,610,control,0.0,40,121,40,1,1,0.3305785123966942,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed610_stkH_b40_m0p0_v11_episodes.csv
C-H,8,611,control,0.0,40,78,40,1,1,0.5128205128205128,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed611_stkH_b40_m0p0_v11_episodes.csv
C-H,8,612,control,0.0,40,137,40,1,1,0.291970802919708,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed612_stkH_b40_m0p0_v11_episodes.csv
C-H,8,613,control,0.0,40,72,40,1,1,0.5555555555555556,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed613_stkH_b40_m0p0_v11_episodes.csv
C-H,8,614,control,0.0,40,104,40,1,1,0.38461538461538464,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed614_stkH_b40_m0p0_v11_episodes.csv
C-H,8,615,control,0.0,40,98,40,1,1,0.40816326530612246,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed615_stkH_b40_m0p0_v11_episodes.csv
C-H,8,616,control,0.0,40,64,40,1,1,0.625,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed616_stkH_b40_m0p0_v11_episodes.csv
C-H,8,617,control,0.0,40,96,40,1,1,0.4166666666666667,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed617_stkH_b40_m0p0_v11_episodes.csv
C-H,8,618,control,0.0,40,122,40,1,1,0.32786885245901637,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed618_stkH_b40_m0p0_v11_episodes.csv
C-H,8,619,control,0.0,40,105,40,1,1,0.38095238095238093,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed619_stkH_b40_m0p0_v11_episodes.csv
C-H,8,620,control,0.0,40,119,40,1,1,0.33613445378151263,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/control/grid8_riskhigh_r1p2_f2rt0p03_seed620_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,601,simbiosis,0.0,40,200,11,0,0,0.055,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed601_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,602,simbiosis,0.0,40,200,5,0,0,0.025,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed602_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,603,simbiosis,0.0,40,167,40,1,1,0.23952095808383234,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed603_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,604,simbiosis,0.0,40,71,40,1,1,0.5633802816901409,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed604_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,605,simbiosis,0.0,40,79,40,1,1,0.5063291139240507,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed605_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,606,simbiosis,0.0,40,200,2,0,0,0.01,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed606_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,607,simbiosis,0.0,40,200,14,0,0,0.07,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed607_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,608,simbiosis,0.0,40,200,12,0,0,0.06,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed608_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,609,simbiosis,0.0,40,200,10,0,0,0.05,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed609_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,610,simbiosis,0.0,40,200,30,0,0,0.15,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed610_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,611,simbiosis,0.0,40,55,40,1,1,0.7272727272727273,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed611_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,612,simbiosis,0.0,40,200,2,0,0,0.01,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed612_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,613,simbiosis,0.0,40,72,40,1,1,0.5555555555555556,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed613_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,614,simbiosis,0.0,40,112,40,1,1,0.35714285714285715,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed614_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,615,simbiosis,0.0,40,162,40,1,1,0.24691358024691357,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed615_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,616,simbiosis,0.0,40,194,40,1,1,0.20618556701030927,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed616_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,617,simbiosis,0.0,40,69,40,1,1,0.5797101449275363,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed617_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,618,simbiosis,0.0,40,118,40,1,1,0.3389830508474576,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed618_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,619,simbiosis,0.0,40,200,9,0,0,0.045,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed619_stkH_b40_m0p0_v11_episodes.csv
S0-H,8,620,simbiosis,0.0,40,200,10,0,0,0.05,results/v11/F8/F2_redteam/stkH/rt0p03/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_f2rt0p03_seed620_stkH_b40_m0p0_v11_episodes.csv
