phase,agent,grid_size,seed,risk_scale,risk_level,red_team,pgf_mix,n_episodes_total,n_episodes_env,pct_tripwires,mean_reward_total,median_reward_total,iqr_reward_total,cvar05_reward_total,max_drawdown_reward_total,mean_reward_env_total,median_reward_env_total,iqr_reward_env_total,cvar05_reward_env_total,max_drawdown_reward_env_total,file
F1_highrisk,simbiosis,8,101,1.2,high,False,0.2,200,200,0.0,-14.18808748063631,-14.364696400909029,1.280000000000003,-14.99999999999998,2823.897496127262,-58.9845,-59.205,1.5999999999999943,-60.0,11738.499999999989,results/v11/F1_highrisk/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed101_v11_episodes.csv
F1_highrisk,simbiosis,16,7,1.2,high,False,0.2,200,200,1.5,-13.728967062053348,-14.383482004545211,2.3312623832056953,-15.20274721416267,2731.254626807035,-58.40644999999999,-59.224999999999994,2.990000000000002,-60.19200000000001,11621.869999999999,results/v11/F1_highrisk/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed7_v11_episodes.csv
F1_highrisk,simbiosis,16,13,1.2,high,False,0.2,200,200,3.0,-13.71182532705207,-14.364696400909029,2.2776517995454864,-15.484151703961938,2727.5250654104148,-58.37754999999999,-59.205,2.8475000000000037,-60.42,11615.710000000006,results/v11/F1_highrisk/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed13_v11_episodes.csv
F1_highrisk,simbiosis,16,42,1.2,high,False,0.2,200,200,1.0,-13.740777877335356,-14.49635681090853,2.39295539863644,-15.44356320998413,2736.195575467071,-58.40604999999999,-59.36,2.9924999999999997,-60.17999999999999,11625.010000000002,results/v11/F1_highrisk/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed42_v11_episodes.csv
F1_highrisk,simbiosis,16,99,1.2,high,False,0.2,200,200,2.0,-13.814499859170246,-14.519999999999982,2.249392801818095,-15.959501711952328,2750.779971834055,-58.482200000000006,-59.4,2.8100000000000023,-60.511,11640.040000000003,results/v11/F1_highrisk/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed99_v11_episodes.csv
F1_highrisk,simbiosis,16,101,1.2,high,False,0.2,200,200,0.0,-13.644087480636312,-14.364696400909029,2.5600000000000023,-14.99999999999998,2716.3774961272643,-58.304500000000004,-59.205,3.1999999999999957,-60.0,11604.099999999997,results/v11/F1_highrisk/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed101_v11_episodes.csv
F2_redteam,control,8,7,1.2,high,True,0.2,200,200,0.0,-71.36495000000001,-72.5,0.0,-74.223,14209.960000000005,-71.36495000000001,-72.5,0.0,-74.223,14209.960000000005,results/v11/F2_redteam/grid8/riskhigh/control/grid8_riskhigh_r1p2_seed7_v11_episodes.csv
F2_redteam,control,8,13,1.2,high,True,0.2,200,200,12.0,-72.13870000000001,-73.1,1.4500000000000028,-75.40700000000001,14364.340000000031,-72.13870000000001,-73.1,1.4500000000000028,-75.40700000000001,14364.340000000031,results/v11/F2_redteam/grid8/riskhigh/control/grid8_riskhigh_r1p2_seed13_v11_episodes.csv
F2_redteam,control,8,42,1.2,high,True,0.2,200,200,2.0,-72.54434999999998,-72.89999999999999,1.0,-75.307,14446.859999999964,-72.54434999999998,-72.89999999999999,1.0,-75.307,14446.859999999964,results/v11/F2_redteam/grid8/riskhigh/control/grid8_riskhigh_r1p2_seed42_v11_episodes.csv
F2_redteam,control,8,99,1.2,high,True,0.2,200,200,2.5,-71.6038,-72.5,0.7999999999999972,-74.704,14246.659999999996,-71.6038,-72.5,0.7999999999999972,-74.704,14246.659999999996,results/v11/F2_redteam/grid8/riskhigh/control/grid8_riskhigh_r1p2_seed99_v11_episodes.csv
