total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
23.43,23.43,30,0,0,0,0,7,98,0.0,0,98,0.0,0.01,42,0
21.47,21.47,30,0,0,0,0,3,99,0.0,0,99,0.0,0.01,42,1
21.47,-53.52999999999999,30,0,0,0,0,3,100,0.25,1,0,0.0,0.01,42,0
21.340000000000003,-378.65999999999997,30,0,0,0,0,16,101,0.25,1,1,0.0,0.01,42,0
24.18,-148.31999999999996,30,0,0,0,1,7,102,0.25,1,2,0.0,0.01,42,0
18.9,18.9,30,0,0,0,0,0,103,0.25,1,3,0.0,0.01,42,0
21.47,-53.52999999999999,30,0,0,0,0,3,104,0.25,1,4,0.0,0.01,42,0
21.450000000000003,-103.54999999999998,30,0,0,0,0,5,105,0.25,1,5,0.0,0.01,42,0
21.45,-103.54999999999998,30,0,0,0,0,5,106,0.25,1,6,0.0,0.01,42,0
20.09,-4.91,30,0,0,0,0,1,107,0.25,1,7,0.0,0.01,42,0
20.82,-179.17999999999998,30,0,0,0,0,8,108,0.25,1,8,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,109,0.25,1,9,0.0,0.01,42,0
18.689999999999998,-6.310000000000002,30,0,0,0,0,1,110,0.25,1,10,0.0,0.01,42,0
21.470000000000002,-53.52999999999999,30,0,0,0,0,3,111,0.25,1,11,0.0,0.01,42,0
22.999999999999996,-227.00000000000003,30,0,0,0,0,10,112,0.25,1,12,0.0,0.01,42,0
21.47,-53.52999999999999,30,0,0,0,0,3,113,0.25,1,13,0.0,0.01,42,0
22.22,-50.27999999999999,30,0,0,0,1,3,114,0.25,1,14,0.0,0.01,42,0
21.47,-53.52999999999999,30,0,0,0,0,3,115,0.25,1,15,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,116,0.25,1,16,0.0,0.01,42,0
22.81,-74.68999999999998,30,0,0,0,1,4,117,0.25,1,17,0.0,0.01,42,0
22.38,-277.61999999999995,30,0,0,0,0,12,118,0.25,1,18,0.0,0.01,42,0
23.57,-173.92999999999998,30,0,0,0,1,8,119,0.25,1,19,0.0,0.01,42,0
21.07,-53.92999999999999,30,0,0,0,0,3,120,0.25,1,20,0.0,0.01,42,0
21.47,-53.52999999999999,30,0,0,0,0,3,121,0.25,1,21,0.0,0.01,42,0
