episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
95,PGF,2145.2000000000007,30,3,2228.0,0.9,0.3,0.4375,2.3333333333333335,7
96,PGF,2142.2000000000007,30,0,2225.0,2.1,0.3,0.4375,1.0,7
97,PGF,2146.2000000000007,30,4,2229.0,1.4000000000000001,0.3,0.4375,1.5,7
98,PGF,2143.2000000000007,30,1,2226.0,2.1,0.3,0.4375,1.0,7
99,PGF,2143.2000000000007,30,1,2226.0,0.525,0.3,0.4375,4.0,7
100,PGF,2144.2000000000007,30,2,2227.0,1.4000000000000001,0.3,0.4375,1.5,7
1,Control,17.200000000000003,30,0,100.0,0.6,0.3,0.125,1.0,2
2,Control,17.200000000000003,30,0,100.0,0.6,0.3,0.125,1.0,2
3,Control,18.200000000000003,30,1,101.0,0.15,0.3,0.125,4.0,2
4,Control,17.0,30,0,100.0,0.3,0.3,0.0625,1.0,1
5,Control,18.6,30,1,101.0,0.3,0.3,0.25,4.0,4
6,Control,19.000000000000004,30,1,101.0,0.375,0.3,0.3125,4.0,5
7,Control,18.6,30,1,101.0,1.2,0.3,0.25,1.0,4
8,Control,18.6,30,1,101.0,0.6,0.3,0.25,2.0,4
9,Control,19.8,30,2,102.0,0.48,0.3,0.25,2.5,4
10,Control,18.800000000000004,30,1,101.0,0.6,0.3,0.25,2.0,4
11,Control,18.790000000000003,30,1,100.99,1.5,0.3,0.3125,1.0,5
12,Control,17.6,30,0,100.0,1.2,0.3,0.25,1.0,4
13,Control,18.6,30,1,101.0,0.39999999999999997,0.3,0.25,3.0,4
14,Control,19.0,30,1,101.0,0.44999999999999996,0.3,0.375,4.0,6
15,Control,19.790000000000003,30,1,100.99,0.7000000000000001,0.3,0.4375,3.0,7
16,Control,444.59999999999997,30,2,527.0,0.8400000000000001,0.3,0.4375,2.5,7
17,Control,18.6,30,1,101.0,0.39999999999999997,0.3,0.25,3.0,4
18,Control,17.800000000000004,30,0,100.0,1.2,0.3,0.25,1.0,4
19,Control,20.8,30,3,103.0,0.75,0.3,0.3125,2.0,5
20,Control,20.8,30,3,103.0,0.6428571428571428,0.3,0.3125,2.3333333333333335,5
21,Control,20.79,30,3,102.99,0.75,0.3,0.3125,2.0,5
22,Control,952.1900000000002,30,0,1034.99,2.1,0.3,0.4375,1.0,7
23,Control,18.990000000000002,30,1,100.99,0.6,0.3,0.375,3.0,6
24,Control,357.175,30,0,439.975,2.1,0.3,0.4375,1.0,7
25,Control,1804.3600000000006,30,2,1886.96,1.4000000000000001,0.3,0.4375,1.5,7
26,Control,2143.1750000000006,30,1,2225.975,0.525,0.3,0.4375,4.0,7
27,Control,1888.5650000000005,30,1,1970.965,0.7999999999999999,0.3,0.5,3.0,8
28,Control,2143.1750000000006,30,1,2225.975,1.05,0.3,0.4375,2.0,7
29,Control,2143.1750000000006,30,1,2225.975,0.7000000000000001,0.3,0.4375,3.0,7
30,Control,2142.1750000000006,30,0,2224.975,2.1,0.3,0.4375,1.0,7
31,Control,2142.1750000000006,30,0,2224.975,2.1,0.3,0.4375,1.0,7
32,Control,2144.2000000000007,30,2,2227.0,0.7000000000000001,0.3,0.4375,3.0,7
33,Control,2143.1900000000005,30,1,2225.99,0.525,0.3,0.4375,4.0,7
34,Control,2143.185000000001,30,1,2225.985,0.7000000000000001,0.3,0.4375,3.0,7
35,Control,2143.1750000000006,30,1,2225.975,0.7000000000000001,0.3,0.4375,3.0,7
36,Control,2143.1750000000006,30,1,2225.975,0.7000000000000001,0.3,0.4375,3.0,7
37,Control,2142.1750000000006,30,0,2224.975,2.1,0.3,0.4375,1.0,7
38,Control,2143.1900000000005,30,1,2225.99,1.05,0.3,0.4375,2.0,7
39,Control,2143.1750000000006,30,1,2225.975,2.1,0.3,0.4375,1.0,7
