episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
156,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
157,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
158,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
159,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
160,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
161,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
162,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
163,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
164,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
165,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
166,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
167,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
168,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
169,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
170,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
171,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
172,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
173,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
174,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
175,113.59,6,2,185.99,True,False,0.01,PGF,favorable,10.0,0.4,42
176,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
177,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
178,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
179,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
180,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
181,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
182,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
183,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
184,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
185,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
