episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
103,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
104,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
105,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
106,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
107,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
108,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
109,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
110,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
111,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
112,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
113,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
114,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
115,PGF,115.76,115.76,3,1,8,True,0,0,0.01,0.0,0.4,42,4
116,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
117,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
118,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
119,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
120,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
121,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
122,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
123,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
124,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
125,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
126,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
127,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
128,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
129,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
130,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
131,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
132,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
133,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
134,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
135,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
136,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
137,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
138,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
139,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
140,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
141,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
142,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
143,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
144,PGF,115.79,115.79,1,1,7,True,0,0,0.01,0.0,0.4,42,4
145,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
146,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
147,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
148,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
149,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
150,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
151,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
152,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
153,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
154,PGF,116.97,116.97,3,2,6,True,0,0,0.01,0.0,0.4,42,4
155,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
156,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
157,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
158,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
159,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
160,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
161,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
162,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
163,PGF,115.79,115.79,1,1,7,True,0,0,0.01,0.0,0.4,42,4
164,PGF,113.59,113.59,1,0,13,True,0,0,0.01,0.0,0.4,42,4
165,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
166,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
167,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
168,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
169,PGF,115.18,115.18,2,1,11,True,0,0,0.01,0.0,0.4,42,4
170,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
171,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
