Episodio,Recompensa_tui,Tripwires_tui,PGF_Bruto_Avg,PGF_Costo_Avg
258,-41.76322621337162,0,-0.6090806553342911,0.335
259,0.0,0,0.0,0.0
260,-42.47241966002876,0,-0.45681049150071834,0.53
261,-8.090806553342912,0,-0.15227016383357278,0.025
262,0.0,0,0.0,0.0
263,0.0,0,0.0,0.0
264,0.0,0,0.0,0.0
265,-12.490806553342896,0,-0.15227016383357278,0.135
266,-21.781613106685803,0,-0.30454032766714556,0.19
267,0.0,0,0.0,0.0
268,-8.090806553342912,0,-0.15227016383357278,0.025
269,0.0,0,0.0,0.0
270,0.0,0,0.0,0.0
271,0.0,0,0.0,0.0
272,0.0,0,0.0,0.0
273,0.0,0,0.0,0.0
274,0.0,0,0.0,0.0
275,-22.9816131066858,0,-0.30454032766714556,0.22
276,-41.36322621337162,0,-0.6090806553342911,0.325
277,-20.38161310668581,0,-0.30454032766714556,0.155
278,0.0,0,0.0,0.0
279,-8.090806553342912,0,-0.15227016383357278,0.025
280,0.0,0,0.0,0.0
281,0.0,0,0.0,0.0
282,0.0,0,0.0,0.0
283,-32.272419660028746,0,-0.45681049150071834,0.275
284,-17.581613106685822,0,-0.30454032766714556,0.085
285,0.0,0,0.0,0.0
286,0.0,0,0.0,0.0
287,0.0,0,0.0,0.0
288,-12.890806553342895,0,-0.15227016383357278,0.145
289,0.0,0,0.0,0.0
290,0.0,0,0.0,0.0
291,0.0,0,0.0,0.0
292,0.0,0,0.0,0.0
293,-34.472419660028756,0,-0.45681049150071834,0.33
294,-27.98161310668578,0,-0.30454032766714556,0.345
295,-53.16322621337157,0,-0.6090806553342911,0.62
296,-11.090806553342901,0,-0.15227016383357278,0.1
297,-27.27241966002875,0,-0.45681049150071834,0.15
298,0.0,0,0.0,0.0
299,0.0,0,0.0,0.0
300,0.0,0,0.0,0.0
301,-8.49080655334291,0,-0.15227016383357278,0.035
302,0.0,0,0.0,0.0
303,0.0,0,0.0,0.0
304,-13.490806553342892,0,-0.15227016383357278,0.16
305,0.0,0,0.0,0.0
306,-36.163226213371644,0,-0.6090806553342911,0.195
307,0.0,0,0.0,0.0
308,-8.890806553342909,0,-0.15227016383357278,0.045
309,0.0,0,0.0,0.0
310,-15.290806553342886,0,-0.15227016383357278,0.205
311,-26.47241966002873,0,-0.45681049150071834,0.13
312,-8.69080655334291,0,-0.15227016383357278,0.04
313,0.0,0,0.0,0.0
314,-14.981613106685824,0,-0.30454032766714556,0.02
315,-11.690806553342899,0,-0.15227016383357278,0.115
316,0.0,0,0.0,0.0
317,-32.16322621337165,0,-0.6090806553342911,0.095
318,0.0,0,0.0,0.0
319,0.0,0,0.0,0.0
320,-27.181613106685784,0,-0.30454032766714556,0.325
321,-8.69080655334291,0,-0.15227016383357278,0.04
322,0.0,0,0.0,0.0
323,-7.890806553342912,0,-0.15227016383357278,0.02
324,-159.426808773319,1,-1.6056702193329744,2.03
325,-32.56322621337165,0,-0.6090806553342911,0.105
326,0.0,0,0.0,0.0
327,-39.763226213371624,0,-0.6090806553342911,0.285
328,0.0,0,0.0,0.0
329,-15.890806553342884,0,-0.15227016383357278,0.22
330,0.0,0,0.0,0.0
331,0.0,0,0.0,0.0
332,0.0,0,0.0,0.0
333,-62.163226213371544,0,-0.6090806553342911,0.845
334,0.0,0,0.0,0.0
335,-11.690806553342899,0,-0.15227016383357278,0.115
336,-39.56322621337163,0,-0.6090806553342911,0.28
337,0.0,0,0.0,0.0
338,0.0,0,0.0,0.0
339,0.0,0,0.0,0.0
340,0.0,0,0.0,0.0
341,0.0,0,0.0,0.0
342,-8.890806553342909,0,-0.15227016383357278,0.045
343,0.0,0,0.0,0.0
344,-8.49080655334291,0,-0.15227016383357278,0.035
345,0.0,0,0.0,0.0
346,-10.490806553342903,0,-0.15227016383357278,0.085
347,0.0,0,0.0,0.0
348,0.0,0,0.0,0.0
349,-11.890806553342898,0,-0.15227016383357278,0.12
350,0.0,0,0.0,0.0
351,0.0,0,0.0,0.0
352,0.0,0,0.0,0.0
353,-12.290806553342897,0,-0.15227016383357278,0.13
354,-17.98161310668582,0,-0.30454032766714556,0.095
355,-39.872419660028754,0,-0.45681049150071834,0.465
356,-11.690806553342899,0,-0.15227016383357278,0.115
357,0.0,0,0.0,0.0
358,-20.18161310668581,0,-0.30454032766714556,0.15
359,0.0,0,0.0,0.0
360,0.0,0,0.0,0.0
361,0.0,0,0.0,0.0
362,-11.090806553342901,0,-0.15227016383357278,0.1
363,0.0,0,0.0,0.0
364,0.0,0,0.0,0.0
365,0.0,0,0.0,0.0
366,0.0,0,0.0,0.0
367,-125.03405792184122,3,-4.599677060969633,0.782608695652174
368,-36.472419660028756,0,-0.45681049150071834,0.38
369,-7.490806553342912,0,-0.15227016383357278,0.01
370,0.0,0,0.0,0.0
371,-28.67241966002874,0,-0.45681049150071834,0.185
372,-46.363226213371604,0,-0.6090806553342911,0.45
373,-97.04519566663315,1,-1.3011298916658287,0.825
374,0.0,0,0.0,0.0
375,0.0,0,0.0,0.0
376,0.0,0,0.0,0.0
377,0.0,0,0.0,0.0
378,0.0,0,0.0,0.0
379,0.0,0,0.0,0.0
380,0.0,0,0.0,0.0
381,0.0,0,0.0,0.0
382,0.0,0,0.0,0.0
383,0.0,0,0.0,0.0
384,-7.890806553342912,0,-0.15227016383357278,0.02
385,-7.290806553342912,0,-0.15227016383357278,0.005
386,-27.381613106685784,0,-0.30454032766714556,0.33
387,-19.78161310668581,0,-0.30454032766714556,0.14
388,0.0,0,0.0,0.0
389,-14.490806553342889,0,-0.15227016383357278,0.185
390,-10.890806553342902,0,-0.15227016383357278,0.095
391,-14.690806553342888,0,-0.15227016383357278,0.19
392,0.0,0,0.0,0.0
393,0.0,0,0.0,0.0
394,-9.090806553342908,0,-0.15227016383357278,0.05
395,-48.16322621337159,0,-0.6090806553342911,0.495
396,-8.090806553342912,0,-0.15227016383357278,0.025
397,0.0,0,0.0,0.0
398,0.0,0,0.0,0.0
399,0.0,0,0.0,0.0
400,0.0,0,0.0,0.0
401,-20.581613106685808,0,-0.30454032766714556,0.16
402,-11.2908065533429,0,-0.15227016383357278,0.105
403,0.0,0,0.0,0.0
404,-41.76322621337161,0,-0.6090806553342911,0.335
405,-21.181613106685806,0,-0.30454032766714556,0.175
406,0.0,0,0.0,0.0
407,0.0,0,0.0,0.0
408,0.0,0,0.0,0.0
409,-36.87241966002876,0,-0.45681049150071834,0.39
410,-27.381613106685784,0,-0.30454032766714556,0.33
411,0.0,0,0.0,0.0
412,0.0,0,0.0,0.0
413,-14.981613106685824,0,-0.30454032766714556,0.02
414,0.0,0,0.0,0.0
415,0.0,0,0.0,0.0
416,-15.690806553342885,0,-0.15227016383357278,0.215
417,0.0,0,0.0,0.0
418,0.0,0,0.0,0.0
419,-12.090806553342897,0,-0.15227016383357278,0.125
420,0.0,0,0.0,0.0
421,-10.690806553342902,0,-0.15227016383357278,0.09
422,0.0,0,0.0,0.0
423,-15.890806553342884,0,-0.15227016383357278,0.22
424,0.0,0,0.0,0.0
425,-8.090806553342912,0,-0.15227016383357278,0.025
426,0.0,0,0.0,0.0
427,-16.981613106685824,0,-0.30454032766714556,0.07
428,-24.381613106685798,0,-0.30454032766714556,0.255
429,0.0,0,0.0,0.0
430,0.0,0,0.0,0.0
431,0.0,0,0.0,0.0
432,0.0,0,0.0,0.0
433,-32.872419660028754,0,-0.45681049150071834,0.29
434,-10.690806553342902,0,-0.15227016383357278,0.09
435,-9.490806553342907,0,-0.15227016383357278,0.06
436,0.0,0,0.0,0.0
437,0.0,0,0.0,0.0
438,-27.181613106685784,0,-0.30454032766714556,0.325
439,0.0,0,0.0,0.0
440,0.0,0,0.0,0.0
441,-66.94483932005744,0,-0.9136209830014367,0.61
442,0.0,0,0.0,0.0
443,0.0,0,0.0,0.0
444,-40.472419660028756,0,-0.45681049150071834,0.48
445,0.0,0,0.0,0.0
446,0.0,0,0.0,0.0
447,0.0,0,0.0,0.0
448,0.0,0,0.0,0.0
449,0.0,0,0.0,0.0
450,0.0,0,0.0,0.0
451,0.0,0,0.0,0.0
452,0.0,0,0.0,0.0
453,-10.890806553342902,0,-0.15227016383357278,0.095
454,0.0,0,0.0,0.0
455,0.0,0,0.0,0.0
456,-12.090806553342897,0,-0.15227016383357278,0.125
457,0.0,0,0.0,0.0
458,0.0,0,0.0,0.0
459,-28.18161310668578,0,-0.30454032766714556,0.35
460,0.0,0,0.0,0.0
461,0.0,0,0.0,0.0
462,-112.9543891132903,1,-1.148859727832256,1.4
463,0.0,0,0.0,0.0
464,0.0,0,0.0,0.0
465,0.0,0,0.0,0.0
466,-37.27241966002876,0,-0.45681049150071834,0.4
467,0.0,0,0.0,0.0
468,0.0,0,0.0,0.0
469,0.0,0,0.0,0.0
470,0.0,0,0.0,0.0
471,-12.090806553342897,0,-0.15227016383357278,0.125
472,-8.69080655334291,0,-0.15227016383357278,0.04
473,-19.58161310668581,0,-0.30454032766714556,0.135
474,0.0,0,0.0,0.0
475,0.0,0,0.0,0.0
476,0.0,0,0.0,0.0
477,0.0,0,0.0,0.0
478,-22.181613106685802,0,-0.30454032766714556,0.2
479,0.0,0,0.0,0.0
480,-30.272419660028746,0,-0.45681049150071834,0.225
481,-22.7816131066858,0,-0.30454032766714556,0.215
482,0.0,0,0.0,0.0
483,0.0,0,0.0,0.0
484,-7.890806553342912,0,-0.15227016383357278,0.02
485,0.0,0,0.0,0.0
486,0.0,0,0.0,0.0
487,-45.072419660028764,0,-0.45681049150071834,0.595
488,-18.381613106685815,0,-0.30454032766714556,0.105
489,-8.290806553342911,0,-0.15227016383357278,0.03
490,0.0,0,0.0,0.0
491,-14.29080655334289,0,-0.15227016383357278,0.18
492,-7.490806553342912,0,-0.15227016383357278,0.01
493,0.0,0,0.0,0.0
494,-39.96322621337163,0,-0.6090806553342911,0.29
495,0.0,0,0.0,0.0
496,-10.890806553342902,0,-0.15227016383357278,0.095
497,0.0,0,0.0,0.0
498,0.0,0,0.0,0.0
499,-23.07241966002874,0,-0.45681049150071834,0.045
500,0.0,0,0.0,0.0
501,0.0,0,0.0,0.0
502,-70.83564587340042,0,-1.0658911468350096,0.53
503,-46.163226213371644,0,-0.6090806553342911,0.445
504,-14.29080655334289,0,-0.15227016383357278,0.18
505,0.0,0,0.0,0.0
506,0.0,0,0.0,0.0
507,0.0,0,0.0,0.0
508,0.0,0,0.0,0.0
509,-9.690806553342906,0,-0.15227016383357278,0.065
510,-63.05403276671454,0,-0.761350819167864,0.69
511,0.0,0,0.0,0.0
512,0.0,0,0.0,0.0
513,0.0,0,0.0,0.0
514,0.0,0,0.0,0.0
515,0.0,0,0.0,0.0
516,-49.76322621337158,0,-0.6090806553342911,0.535
517,-9.090806553342908,0,-0.15227016383357278,0.05
518,0.0,0,0.0,0.0
519,-42.96322621337161,0,-0.6090806553342911,0.365
520,0.0,0,0.0,0.0
521,0.0,0,0.0,0.0
522,0.0,0,0.0,0.0
523,-24.072419660028736,0,-0.45681049150071834,0.07
524,-10.890806553342902,0,-0.15227016383357278,0.095
525,0.0,0,0.0,0.0
526,0.0,0,0.0,0.0
527,-43.67241966002877,0,-0.45681049150071834,0.56
528,-16.981613106685824,0,-0.30454032766714556,0.07
529,-13.690806553342892,0,-0.15227016383357278,0.165
530,-9.890806553342905,0,-0.15227016383357278,0.07
531,0.0,0,0.0,0.0
532,-42.36322621337162,0,-0.6090806553342911,0.35
533,-23.581613106685797,0,-0.30454032766714556,0.235
534,0.0,0,0.0,0.0
535,0.0,0,0.0,0.0
536,0.0,0,0.0,0.0
537,0.0,0,0.0,0.0
538,-8.090806553342912,0,-0.15227016383357278,0.025
539,-58.16322621337156,0,-0.6090806553342911,0.745
540,0.0,0,0.0,0.0
541,0.0,0,0.0,0.0
542,0.0,0,0.0,0.0
543,0.0,0,0.0,0.0
544,-42.163226213371615,0,-0.6090806553342911,0.345
545,-14.890806553342887,0,-0.15227016383357278,0.195
546,0.0,0,0.0,0.0
547,0.0,0,0.0,0.0
548,0.0,0,0.0,0.0
549,0.0,0,0.0,0.0
550,-9.690806553342906,0,-0.15227016383357278,0.065
551,0.0,0,0.0,0.0
552,0.0,0,0.0,0.0
553,-30.27241966002874,0,-0.45681049150071834,0.225
554,0.0,0,0.0,0.0
555,0.0,0,0.0,0.0
556,-12.090806553342897,0,-0.15227016383357278,0.125
