risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
2.0,simbiosis,-0.5029910893884413,-0.2837922740169596,0.2191988153714817,0.119,-25.028325032250414
2.0,dqn_control,-0.4886786778938617,-0.2540537015216268,0.2346249763722349,0.11,-12.59815
2.0,tui,-0.2822937761911163,-0.1668110202918083,0.1154827558993079,0.036,-12.229904033608618
3.0,control,-0.2124238667265792,-0.1132182544816812,0.0992056122448979,0.021,-4.545
3.0,simbiosis,-0.4904934604015001,-0.2652258928762145,0.2252675675252856,0.1,-24.79585395808956
3.0,dqn_control,-0.4371258235520289,-0.2274432227475686,0.2096826008044603,0.075,-12.13325
3.0,tui,-0.2721898102668716,-0.1628476936093971,0.1093421166574744,0.029,-11.66287261496547
0.5,control,-0.1772775342677977,-0.1016325342677976,0.075645,0.01,-3.21
0.5,simbiosis,-0.4266308248859489,-0.2268329677430916,0.1997978571428571,0.115,-23.040026010717995
0.5,dqn_control,-0.4227997999762312,-0.2198019428333741,0.2029978571428571,0.106,-5.971525000000001
0.5,tui,-0.2590154610028038,-0.1550354610028037,0.1039799999999999,0.037,-11.284618440112144
1.0,control,-0.1797475342677977,-0.1016325342677976,0.078115,0.01,-3.31
1.0,simbiosis,-0.4113435743767392,-0.2239571121193276,0.1873864622574115,0.107,-22.3052874228
1.0,dqn_control,-0.3908110583000032,-0.2148091674403247,0.1760018908596784,0.096,-6.7168
1.0,tui,-0.2749979039256561,-0.1637588130165652,0.1112390909090909,0.038,-11.841423890130402
1.5,control,-0.1822175342677976,-0.1016325342677976,0.080585,0.01,-3.41
1.5,simbiosis,-0.4543033134130694,-0.240649461604231,0.2136538518088383,0.095,-23.091528022742388
1.5,dqn_control,-0.4078941004972818,-0.2129533222411171,0.1949407782561647,0.092,-8.985175
1.5,tui,-0.2563445618957309,-0.1543327645670433,0.1020117973286875,0.026,-11.110015969449636
2.0,control,-0.1893909296772027,-0.1054337868200599,0.0839571428571428,0.012,-3.66
2.0,simbiosis,-0.452948248646822,-0.2558824332025754,0.1970658154442465,0.099,-21.511476607377748
2.0,dqn_control,-0.3911333499141932,-0.2080899946750138,0.1830433552391794,0.063,-9.131075
2.0,tui,-0.264514454474627,-0.159911173264355,0.104603281210272,0.023,-11.316795253485912
3.0,control,-0.1843186608437428,-0.1021851074223742,0.0821335534213685,0.009,-3.685
3.0,simbiosis,-0.4755198562780504,-0.2494495044674237,0.2260703518106265,0.097,-24.756755762329853
3.0,dqn_control,-0.4829896810046775,-0.2647771783201199,0.2182125026845575,0.092,-13.894575
3.0,tui,-0.2712573745986077,-0.1628602796552361,0.1083970949433716,0.031,-11.743185225362724
